baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
238.920658717166	0.045248327279371	0.307423896372927	0.147185458948453	0.882985637673039	0.965918237485786	Gene_1
241.664083547597	0.808029319422975	0.424973945247702	1.90136202103403	0.0572546105235795	0.397391950887973	Gene_2
107.091874391502	0.558678581428449	0.359556909688439	1.55379737219499	0.120232757573037	0.559222128246682	Gene_3
166.0948569214	0.269939385426959	0.352569220306231	0.765635143057859	0.44389342772383	0.86214678640583	Gene_4
422.856455393898	0.244696971240209	0.369464767321742	0.662301233792933	0.507778186286811	0.885474251090793	Gene_5
236.001882342471	-0.359995916417592	0.312767176888795	-1.15100286417072	0.249731057226513	0.713158076954996	Gene_6
125.404963073357	0.200536151878427	0.338794200893074	0.591911406245462	0.553909915377564	0.891239874535552	Gene_7
249.842032919388	-0.541351323818668	0.318717205270329	-1.6985318485066	0.0894074269151394	0.491249598434832	Gene_8
191.689122948232	-0.0605116711907383	0.387068546823413	-0.156333217171337	0.875770374705524	0.964504817957626	Gene_9
21.1474406153689	-0.321802726974619	0.449586377448823	-0.715775083757404	0.474130239884274	0.880271880097357	Gene_10
77.0912097792553	-0.581200439149384	0.385020632346491	-1.50953063374106	0.131163232889644	0.576809833146295	Gene_11
198.344012526784	0.191822999313325	0.422927222436161	0.453560303374134	0.650145330652121	0.909893290317059	Gene_12
353.678814416791	-0.565701390165194	0.366914927270219	-1.54177807475403	0.123127531762658	0.559670598921174	Gene_13
137.081256827777	-0.194927733154954	0.412636626737949	-0.472395615231572	0.6366444335288	0.909893290317059	Gene_14
116.435631319093	-0.479804238361001	0.426368522979231	-1.12532753358149	0.260450266410682	0.719475874062658	Gene_15
169.569657061464	0.0820942583609802	0.464668975741703	0.176672561859637	0.859765594276863	0.961475107147728	Gene_16
114.990768040966	-0.247600582941551	0.441465961427192	-0.560859963339181	0.574893005238186	0.897843797425578	Gene_17
145.742377282303	0.163160826047694	0.402251901556069	0.405618532607362	0.685022909657714	0.91949383846673	Gene_18
179.21321455926	0.0395358343233884	0.339985996844777	0.116286655010203	0.907425361616541	0.972231941358026	Gene_19
60.0212370453613	0.414762100754539	0.364036007765802	1.1393436141113	0.254559864031791	0.71505579784211	Gene_20
331.651613483516	-0.13662909399417	0.366658048118244	-0.372633560603336	0.709421191230483	0.925318328677134	Gene_21
44.3983087532759	-0.734746628977535	0.436947399096752	-1.68154480492706	0.0926571412746514	0.498156673519631	Gene_22
36.3021817502928	0.166526364355849	0.393916850706	0.422744962692993	0.672481346868665	0.913417098869646	Gene_23
193.483092647968	0.254958025766456	0.458196341912633	0.556438370289456	0.577911214484852	0.897843797425578	Gene_24
285.281779226149	-0.562093353044987	0.378935838247904	-1.4833470374403	0.137982231112173	0.589667654325527	Gene_25
